website,registrar,dnssec,ssl,phishing,price,updated_date_diff,expiration_date_diff,len_name_servers,emails_verify,result
bitchainpro.io,"GoDaddy.com, LLC",0,0,1,0.3,-7,358,2,0,0
bkplasticmachinery.in,,0,1,1,0.3,,,,0,0
blackandwhitejewell.com,"GoDaddy.com, LLC",0,1,0,0.3,-180,915,2,0,0
blackape.in,"GoDaddy.com, LLC",0,1,1,0.3,-161,22,2,0,0
blissfintrip.com,"GoDaddy.com, LLC",0,1,0,0.3,-126,140,2,0,0
blockcodtech.com,"GoDaddy.com, LLC",0,1,0,0.3,-163,129,2,0,0
blocksinfotech.com,"OwnRegistrar, Inc.",0,1,0,0.3,-153,265,4,0.5,0
awareinvestor.in,"GoDaddy.com, LLC",0,1,1,0.3,-41,314,2,0,0
axontechnologys.com,"GoDaddy.com, LLC",0,1,0,0.3,-167,141,2,0,0
azozwall.com,NAMECHEAP INC,0,0,0,0.3,-6,-48,4,0.5,0
baatrx.com,"OwnRegistrar, Inc.",0,0,0,0.3,-351,14,4,0.5,0
babarsic.com,"GoDaddy.com, LLC",0,1,0,0.3,-169,145,2,0,0
bahetiandsons.in,"GoDaddy.com, LLC",0,1,1,0.3,-207,143,2,0,0
bajrangbaba.in,"GoDaddy.com, LLC",0,1,1,0.3,-349,13,2,0,0
balajient.org,"GoDaddy.com, LLC",0,1,0,0.3,-49,679,2,0,0
balajiservice.xyz,"OwnRegistrar, Inc.",0,1,0,0.3,-290,65,2,0,0
banarasitadkapureveg.com,PDR Ltd. d/b/a PublicDomainRegistry.com,0,1,0,0.3,-182,183,4,0.5,0
banglarmisti.in,Hosting Concepts B.V. d/b/a Openprovider,0,0,1,0.3,-7,353,2,0,0
banjoboltsmanufacturers.com,"GoDaddy.com, LLC",0,1,0,0.3,-147,218,2,0,0
bansalautoindustries.com,,0,1,0,0.3,,,,0,0
bargo.in,"GoDaddy.com, LLC",0,1,1,0.3,-254,93,2,0,0
bargoinfratech.com,"GoDaddy.com, LLC",0,1,0,0.3,-170,159,2,0,0
barsanaenterprises.com,"GoDaddy.com, LLC",0,1,0,0.3,-139,17,2,0,0
bartservice.com,DYNADOT LLC,0,1,0,0.3,-215,150,4,0,0
basisguru.com,"GoDaddy.com, LLC",0,1,0,0.3,-98,95,2,0,0
basketfast.com,"OwnRegistrar, Inc.",0,1,0,0.3,-252,116,4,0.5,0
bawarchideoghar.com,BigRock Solutions Ltd.,0,1,0,0.3,-313,52,4,0.5,0
bbcoin.network,,0,1,1,0.3,,,,0,0
beansandroots.com,Hosting Concepts B.V. d/b/a Registrar.eu,0,1,0,0.3,-194,161,4,0,0
Bedigisoft.com,"OwnRegistrar, Inc.",0,1,0,0.3,-82,180,4,0.5,0
"
companyforyouthsome.com",,0,0,0,0.3,,,,0,0
coolerones.com,"TurnCommerce, Inc. DBA NameBright.com",0,0,0,0.3,-175,507,2,0,0
enjoyhop.com,"NameSilo, LLC",0,1,0,0.3,-54,310,6,0,0
foryouthsome.com,"GoDaddy.com, LLC",0,0,0,0.3,-77,291,2,0,0
futurgift.com,"Kingdomains, Incorporated",0,1,0,0.3,-31,335,4,0.333333333,0
innotvgood.com,Key-Systems GmbH,0,1,0,0.3,-47,359,4,0.666666667,0
iwishgoods.com,"TurnCommerce, Inc. DBA NameBright.com",0,0,0,0.3,-175,655,2,0,0
kiaasc.com,DropCatch.com 1086 LLC,0,0,0,0.3,-285,84,2,0,0
lemtomorrow.com,Media Elite Holdings Limited,0,1,0,0.3,-42,338,4,1,0
lucurybuy.com,"NameSilo, LLC",0,1,0,0.3,-79,309,4,0,0
lurqure.com,"TUCOWS, INC.",0,1,0,0.3,-120,103,4,0,0
mjkiu.com,Key-Systems GmbH,0,0,0,0.3,-77,1849,4,0.666666667,0
mysupergoodss.com,"GoDaddy.com, LLC",0,0,0,0.3,-92,285,2,0,0
mysurpergoodss.com,"GoDaddy.com, LLC",0,1,0,0.3,-95,45,2,0,0
neoiu.com,"TurnCommerce, Inc. DBA NameBright.com",0,0,0,0.3,-172,291,2,0,0
onsuathymealle.com,"NameSilo, LLC",0,1,0,0.3,-39,318,4,0,0
poisly.com,Key-Systems GmbH,0,1,0,0.3,-52,364,4,0.666666667,0
preatd.com,Media Elite Holdings Limited,0,1,0,0.3,-198,15,4,1,0
prfoodty.com,Key-Systems GmbH,0,1,0,0.3,-52,289,4,0.666666667,0
rphydexaceig.com,Key-Systems GmbH,0,1,0,0.3,-47,378,4,0.666666667,0
sagosmycket.se,,0,0,1,0.3,,,,0,0
sailingme.com,Key-Systems GmbH,0,1,0,0.3,-172,1716,4,0.666666667,0
shakpopin.com,"GoDaddy.com, LLC",0,1,0,0.3,-94,24,2,0,0
sharkiecool.com,,0,0,0,0.3,,,,0,0
simpleliner.com,Media Elite Holdings Limited,0,1,0,0.3,-13,376,2,0.5,0
surprise.shopping,,0,1,1,0.3,,,,0,0
tratartledag.com,"GoDaddy.com, LLC",0,1,0,0.3,-140,36,2,0,0
tylious.com,"GoDaddy.com, LLC",0,1,0,0.3,-93,7,2,0,0
